shots,top_k,N,accuracy,macro_f1,weighted_f1,invalid_rate,seconds_total,seconds_per_report
1,5,300,0.37666666666666665,0.3017408379464218,0.35059336793945967,0.023333333333333334,29.10549807548523,0.0970183269182841
3,5,300,0.4633333333333333,0.36984434805763705,0.45431195994458384,0.07666666666666666,32.48632550239563,0.1082877516746521
5,5,300,0.33666666666666667,0.27153616199735153,0.3474584107151311,0.02,33.08035659790039,0.11026785532633464
