Model,Accuracy,Macro-F1,Weighted-F1
TF-IDF + LogReg (balanced) — SUBSET,0.95,0.9419954021282417,0.951211444672694
TF-IDF + LinearSVC (balanced) — SUBSET,0.9533333333333334,0.936360057621108,0.9496495374357444
